"id","repo_id","committer","message","comment_count","verification"
"48","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","AlexisDeschamps","Fix slow doEmpty by using EVENT_OBJECT_SCHEMA

This fix improves the performance of MySQLSchema.doEmpty for MySQL 5.7 without changing the expected behavior.

The subquery `SELECT 1 as found FROM information_schema.triggers WHERE trigger_schema=? AND  LIMIT 1` is changed to `SELECT 1 as found FROM information_schema.triggers WHERE event_object_schema=? AND  LIMIT 1`.

As specified here: https://dev.mysql.com/doc/mysql-infoschema-excerpt/5.7/en/triggers-table.html, ""every trigger is associated with exactly one table"" and EVENT_OBJECT_SCHEMA is the ""schema (database) in which this table occurs"" and TRIGGER_SCHEMA is ""The name of the schema (database) to which the trigger belongs"". If a trigger belons to a table that belongs to schema X, then that trigger must belong to schema X. Thus, if one's goal is to find if there any triggers associated with a specific schema, one can filter by EVENT_OBJECT_SCHEMA.

As specified here: https://dev.mysql.com/doc/refman/5.7/en/information-schema-optimization.html, filtering by EVENT_OBJECT_SCHEMA is faster than filtering by TRIGGER_SCHEMA because it is a ""Column to specify to avoid data directory scan"".
s","0","1"
"49","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2701 Improve oracle parser support, including using / on a line by itself as a delimiter","0","0"
"50","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2737 Add even better support to MySQL for blocks with multiple branches.","0","0"
"51","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2724 #2733 SAP HANA parser fixes","0","0"
"52","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","PostgreSQL supports user and password in URL; command line shouldn't prompt if it can parse them out.","0","0"
"53","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2727 Flyway won't attempt to colorize the log if there is no System.console","0","0"
"54","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","Lyeeedar","Fix #2720, #2726 Handle blocks in mysql better, particularly if functions and NOT EXISTS statements","0","0"
"55","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Optionally depend on Oracle's Maven repo","0","0"
"56","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Various parsing and placeholder issues fixed","0","0"
"57","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Gitattributes update","0","0"
