repo_id,name,owner,forks_url,description,language,forks_count,stargazers_count,watchers_count,size,open_issues_count,has_wiki,pushed_at,created_at,updated_at,subscribers_count,license,html_url
MDEwOlJlcG9zaXRvcnkxMTM4MTQyNjk=,DynamicZoningMemoryManagementSchemeSimulationSystem,terencehyz,https://api.github.com/repos/terencehyz/DynamicZoningMemoryManagementSchemeSimulationSystem/forks,动态分区内存管理方案仿真系统,Java,1,1,1,29,0,1,12/11/2017 5:02,12/11/2017 5:01,12/24/2019 1:55,1,null,https://github.com/terencehyz/DynamicZoningMemoryManagementSchemeSimulationSystem
MDEwOlJlcG9zaXRvcnkxMTY2NzIxMzU=,TIL,KSH-code,https://api.github.com/repos/KSH-code/TIL/forks,공부한 내용에 대해서 정리 합니다.,Java,0,5,5,1285,0,1,10/26/2018 8:49,1/8/2018 12:09,4/12/2020 6:15,0,null,https://github.com/KSH-code/TIL
MDEwOlJlcG9zaXRvcnkxMzA0NTUxMzU=,Programming_Projects,YPreety,https://api.github.com/repos/YPreety/Programming_Projects/forks,Java Programming,Java,2,0,0,259,0,1,4/21/2018 10:50,4/21/2018 8:32,6/29/2019 10:40,2,null,https://github.com/YPreety/Programming_Projects
MDEwOlJlcG9zaXRvcnkxMzAzNjc0MjY=,Build-H2O-molecule,Sid11,https://api.github.com/repos/Sid11/Build-H2O-molecule/forks,Java Code for building water molecules using Multithreading and Cyclic Barrier.,Java,0,1,1,3,0,1,4/20/2018 13:45,4/20/2018 13:41,12/15/2019 23:01,0,null,https://github.com/Sid11/Build-H2O-molecule
MDEwOlJlcG9zaXRvcnkxMzIwMTg2MDU=,Deadlock-Detection,jaypeerachai,https://api.github.com/repos/jaypeerachai/Deadlock-Detection/forks,A Java implementation of Deadlock Detection,Java,0,1,1,280,0,1,6/25/2018 20:20,5/3/2018 15:58,5/15/2020 7:58,0,null,https://github.com/jaypeerachai/Deadlock-Detection
MDEwOlJlcG9zaXRvcnkxMzIzMTIwODQ=,Operating-System-Algorithms,imnikhilanand,https://api.github.com/repos/imnikhilanand/Operating-System-Algorithms/forks,This repository contains algorithms and their implementation on Java. These algorithms are the basics of operating system operations and processes. ,Java,0,0,0,9,0,1,5/6/2018 7:33,5/6/2018 6:13,5/7/2018 12:50,2,null,https://github.com/imnikhilanand/Operating-System-Algorithms
MDEwOlJlcG9zaXRvcnkxMzQ2NDk1NTA=,operating-system-simulation,DevMoath,https://api.github.com/repos/DevMoath/operating-system-simulation/forks,App to simulate how Operating System works,Java,0,0,0,43,0,1,8/19/2019 21:21,5/24/2018 2:21,4/6/2020 17:17,2,null,https://github.com/DevMoath/operating-system-simulation
MDEwOlJlcG9zaXRvcnkxMzQ3Njk0NTg=,JNachos,aishwaryar7,https://api.github.com/repos/aishwaryar7/JNachos/forks,Java simulation of an operating system.,Java,0,0,0,79,0,1,5/24/2018 21:17,5/24/2018 21:13,1/16/2019 21:40,2,null,https://github.com/aishwaryar7/JNachos
MDEwOlJlcG9zaXRvcnkxNDA2MTQ3OTI=,File-Management-System,EBhoraniya,https://api.github.com/repos/EBhoraniya/File-Management-System/forks,implementation of basic file system functions in JAVA,Java,0,0,0,143,0,1,7/11/2018 18:42,7/11/2018 18:35,7/11/2018 18:44,0,null,https://github.com/EBhoraniya/File-Management-System
MDEwOlJlcG9zaXRvcnkxNDEwNTUwNTc=,Windroid-98,MicroshaftCorp,https://api.github.com/repos/MicroshaftCorp/Windroid-98/forks,Windows 98+Android=Windroid 98,Java,0,0,0,10,0,1,7/15/2018 20:52,7/15/2018 20:05,7/15/2018 20:53,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/MicroshaftCorp/Windroid-98
MDEwOlJlcG9zaXRvcnkxNDEzMzU2OA==,ekTara,sagarnikam123,https://api.github.com/repos/sagarnikam123/ekTara/forks,ekTara - Marathi OS interface (Prototype),Java,0,0,0,643,0,1,3/2/2018 17:46,11/5/2013 6:07,12/4/2017 11:56,2,null,https://github.com/sagarnikam123/ekTara
MDEwOlJlcG9zaXRvcnkxNDIyMDU1MjE=,CPU-Scheduler,brilacasck,https://api.github.com/repos/brilacasck/CPU-Scheduler/forks,"simulating scheduling algorithms of operating system for processes e.g. Priority Scheduling, Multi Level Scheduling, ...",Java,2,10,10,985,0,1,7/31/2018 13:19,7/24/2018 19:45,6/4/2020 5:18,3,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/brilacasck/CPU-Scheduler
MDEwOlJlcG9zaXRvcnkxNDQ2MTc5NDU=,OperatingSystemScheduling,AhmadYahya97,https://api.github.com/repos/AhmadYahya97/OperatingSystemScheduling/forks,Operating Systems project - Processes scheduling simulator,Java,2,8,8,499,0,1,3/23/2019 11:12,8/13/2018 18:24,5/11/2020 12:14,1,null,https://github.com/AhmadYahya97/OperatingSystemScheduling
MDEwOlJlcG9zaXRvcnkxNDU1NTAxMDE=,UAH_2016_2017,JuanCasado,https://api.github.com/repos/JuanCasado/UAH_2016_2017/forks,Course summary UAH 2016/2017,Java,0,1,1,38067,0,1,12/29/2018 17:03,8/21/2018 10:44,11/2/2019 17:25,1,"{""key"": ""gpl-3.0"", ""name"": ""GNU General Public License v3.0"", ""spdx_id"": ""GPL-3.0"", ""url"": ""https://api.github.com/licenses/gpl-3.0"", ""node_id"": ""MDc6TGljZW5zZTk=""}",https://github.com/JuanCasado/UAH_2016_2017
MDEwOlJlcG9zaXRvcnkxNDU4MTA3ODY=,OPERATING_SYSTEM,shrutijain501,https://api.github.com/repos/shrutijain501/OPERATING_SYSTEM/forks,,Java,0,0,0,135,0,1,11/11/2018 8:22,8/23/2018 6:28,11/11/2018 8:22,2,null,https://github.com/shrutijain501/OPERATING_SYSTEM
MDEwOlJlcG9zaXRvcnkxNDUxMDgzNDM=,UAH_2017_2018,JuanCasado,https://api.github.com/repos/JuanCasado/UAH_2017_2018/forks,Course summary 2017/2018,Java,0,0,0,377577,0,1,10/15/2019 6:38,8/17/2018 10:40,11/21/2019 18:33,2,"{""key"": ""gpl-3.0"", ""name"": ""GNU General Public License v3.0"", ""spdx_id"": ""GPL-3.0"", ""url"": ""https://api.github.com/licenses/gpl-3.0"", ""node_id"": ""MDc6TGljZW5zZTk=""}",https://github.com/JuanCasado/UAH_2017_2018
MDEwOlJlcG9zaXRvcnkxNDY1NTk2OTI=,OperatingSystem,vbhv98,https://api.github.com/repos/vbhv98/OperatingSystem/forks,Operating System,Java,0,0,0,23,0,1,10/25/2018 18:17,8/29/2018 7:07,10/25/2018 18:17,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/vbhv98/OperatingSystem
MDEwOlJlcG9zaXRvcnkxNjEwODE3MzY=,vOS,walleXD,https://api.github.com/repos/walleXD/vOS/forks,"Emulation of key Operation System behaviors like Process, Memory Management, Disks and more.",Java,0,0,0,57,0,1,3/15/2019 20:34,12/9/2018 21:10,3/15/2019 20:34,1,null,https://github.com/walleXD/vOS
MDEwOlJlcG9zaXRvcnkxNjgwODkzOTk=,Word-Counter-Multithreading,akashg105,https://api.github.com/repos/akashg105/Word-Counter-Multithreading/forks,Java program to count word in a file using multithreading,Java,0,0,0,8,0,1,2/21/2019 7:00,1/29/2019 4:32,2/21/2019 7:00,2,null,https://github.com/akashg105/Word-Counter-Multithreading
MDEwOlJlcG9zaXRvcnkxNjM3OTg5MDA=,os4j,jordonyang,https://api.github.com/repos/jordonyang/os4j/forks,Raw experimental Operating System code for recording  a simulating experience.,Java,0,0,0,38,0,1,1/2/2019 6:37,1/2/2019 5:43,1/3/2019 3:32,2,null,https://github.com/jordonyang/os4j
MDEwOlJlcG9zaXRvcnkxNjMwMTIyNzg=,OSSchedulerProject,crumbl3d,https://api.github.com/repos/crumbl3d/OSSchedulerProject/forks,A simple scheduler implementation in Java for an intermediate-level course in Operating Systems.,Java,0,0,0,70,0,1,1/31/2019 20:23,12/24/2018 17:39,2/25/2019 11:06,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/crumbl3d/OSSchedulerProject
MDEwOlJlcG9zaXRvcnkxNjQwMDU0ODg=,projetoDeSOVers-oFinal,FranciscoBastos,https://api.github.com/repos/FranciscoBastos/projetoDeSOVers-oFinal/forks,,Java,0,0,0,156,0,1,1/4/2019 12:04,1/3/2019 17:54,1/4/2019 12:04,2,null,https://github.com/FranciscoBastos/projetoDeSOVers-oFinal
MDEwOlJlcG9zaXRvcnkxNTgwOTY4MTM=,VirtualMemSimulator,fonstack,https://api.github.com/repos/fonstack/VirtualMemSimulator/forks,"💻💾💿 Simulación de la administración de memoria virtual en un Sistema Operativo, utilizando paginación.",Java,0,0,0,152,0,1,12/5/2018 0:40,11/18/2018 15:15,4/25/2019 0:31,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/fonstack/VirtualMemSimulator
MDEwOlJlcG9zaXRvcnkxNTgzNjU4MDY=,Trabalho-de-Sistemas-Operacionais,FranciscoBastos,https://api.github.com/repos/FranciscoBastos/Trabalho-de-Sistemas-Operacionais/forks,,Java,0,0,0,107,0,1,12/28/2018 22:45,11/20/2018 9:45,12/19/2018 14:30,1,null,https://github.com/FranciscoBastos/Trabalho-de-Sistemas-Operacionais
MDEwOlJlcG9zaXRvcnkxNzI2NzMyNjk=,ReviewList,RecYan,https://api.github.com/repos/RecYan/ReviewList/forks,:bookmark:后端校招技能清单,Java,0,1,1,6215,0,1,4/16/2019 7:05,2/26/2019 8:49,9/17/2019 1:15,0,null,https://github.com/RecYan/ReviewList
MDEwOlJlcG9zaXRvcnkxNzk5MzI5ODk=,Operating-Systems,Renovamen,https://api.github.com/repos/Renovamen/Operating-Systems/forks,"Spring 2018 Operating Systems - Assignments (Elevator Scheduling, Memory Management and File Management) | 操作系统课程项目（电梯调度，内存管理，文件管理）",Java,2,3,3,3102,0,1,11/28/2019 3:50,4/7/2019 7:43,11/28/2019 3:50,0,null,https://github.com/Renovamen/Operating-Systems
MDEwOlJlcG9zaXRvcnkxNzUwMzEwODU=,Operating-System-Simulator,Reza-Marzban,https://api.github.com/repos/Reza-Marzban/Operating-System-Simulator/forks,OS Simulator with Memory management and Round Robin Scheduler,Java,0,5,5,134,0,1,8/7/2019 20:25,3/11/2019 15:36,12/28/2019 1:30,0,null,https://github.com/Reza-Marzban/Operating-System-Simulator
MDEwOlJlcG9zaXRvcnkxODAyNDEwNjc=,page-replacement-algorithms,MEDHAT-ALHADDAD,https://api.github.com/repos/MEDHAT-ALHADDAD/page-replacement-algorithms/forks,implementation of page replacement algorithms in java,Java,0,0,0,41,0,1,4/8/2019 22:15,4/8/2019 22:15,4/8/2019 22:18,0,null,https://github.com/MEDHAT-ALHADDAD/page-replacement-algorithms
MDEwOlJlcG9zaXRvcnkxODE0NjU2MTQ=,OS_Page_replacement_algo,DeepanshuJha,https://api.github.com/repos/DeepanshuJha/OS_Page_replacement_algo/forks,Operating System Page replacement Algorithm in java,Java,0,0,0,2,0,1,4/17/2019 10:44,4/15/2019 10:36,5/25/2019 18:45,1,null,https://github.com/DeepanshuJha/OS_Page_replacement_algo
MDEwOlJlcG9zaXRvcnkxODQ0NDkyNDU=,ARINC653_AM335X_TOOLS,lfarcaro,https://api.github.com/repos/lfarcaro/ARINC653_AM335X_TOOLS/forks,Tools for the ARINC653_AM335X Real-Time Operating System (RTOS),Java,0,0,0,206,0,1,5/2/2019 12:32,5/1/2019 16:52,5/3/2019 1:29,2,"{""key"": ""bsd-2-clause"", ""name"": ""BSD 2-Clause \""Simplified\"" License"", ""spdx_id"": ""BSD-2-Clause"", ""url"": ""https://api.github.com/licenses/bsd-2-clause"", ""node_id"": ""MDc6TGljZW5zZTQ=""}",https://github.com/lfarcaro/ARINC653_AM335X_TOOLS
MDEwOlJlcG9zaXRvcnkxODQ0OTgwMDg=,OS_Process_Scheduler,DerrickBu,https://api.github.com/repos/DerrickBu/OS_Process_Scheduler/forks,,Java,0,0,0,19,0,1,5/2/2019 0:17,5/2/2019 0:10,5/2/2019 0:17,2,null,https://github.com/DerrickBu/OS_Process_Scheduler
MDEwOlJlcG9zaXRvcnkxODY0MjgwMzM=,Gmail_API_Drafts_Backup_Storage,sid230798,https://api.github.com/repos/sid230798/Gmail_API_Drafts_Backup_Storage/forks,This Repo contains complete implementation of Gmail API in case of Secondary Storage Devices. Files will be saved as Draft Message for certain amount of memory and create links for bigger file .It's implementation of Linked File Storage Simulation based Drafts and Gmail API.,Java,0,1,1,269,0,1,5/13/2019 13:47,5/13/2019 13:45,5/3/2020 7:30,0,null,https://github.com/sid230798/Gmail_API_Drafts_Backup_Storage
MDEwOlJlcG9zaXRvcnkxOTIyNTQzMTM=,Semaphore-in-JavaFX,alirajabzadeh,https://api.github.com/repos/alirajabzadeh/Semaphore-in-JavaFX/forks,Simulation of a Simple Concurrency Management Problem in JavaFX,Java,2,0,0,1379,0,1,6/17/2019 13:55,6/17/2019 1:23,6/17/2019 13:55,2,null,https://github.com/alirajabzadeh/Semaphore-in-JavaFX
MDEwOlJlcG9zaXRvcnkyMDA4OTA1MDU=,round-robin-dynamic-quantum,dinocajic,https://api.github.com/repos/dinocajic/round-robin-dynamic-quantum/forks,"The Preemptive Round Robin Scheduling Algorithm is an important scheduling algorithm used in both process scheduling and network scheduling. Processes are executed for a predefined unit of time called a quantum. Once the CPU executes the process for the specified time slice, the process either terminates or returns to the back of the ready queue if the process has any remaining burst time left. Numerous proposals have been made to improve the static quantum time of the Round Robin Scheduling Algorithm; most research focuses on the optimization of the ready queue. In this paper, I proposed having predefined optimized quantum times for most process that can be retrieved whenever a new process enters the ready queue.",Java,0,0,0,9,0,1,8/6/2019 16:56,8/6/2019 16:49,8/7/2019 11:19,2,null,https://github.com/dinocajic/round-robin-dynamic-quantum
MDEwOlJlcG9zaXRvcnkyMDgxNDAxODA=,Banker-Algorithm,Omar-Abdel-Wahab,https://api.github.com/repos/Omar-Abdel-Wahab/Banker-Algorithm/forks,CSE223: Operating Systems mini-project to apply deadlocks avoidance algorithm in operating systems.,Java,0,0,0,517,0,1,4/20/2020 20:08,9/12/2019 20:25,4/20/2020 20:08,1,null,https://github.com/Omar-Abdel-Wahab/Banker-Algorithm
