repo_id,name,owner,forks_url,description,language,forks_count,stargazers_count,watchers_count,size,open_issues_count,has_wiki,pushed_at,created_at,updated_at,subscribers_count,license,html_url
MDEwOlJlcG9zaXRvcnkyNDg1MzM3MTA=,CourseGoo,Hippopotomonstrosesquippedaliophobia,https://api.github.com/repos/Hippopotomonstrosesquippedaliophobia/CourseGoo/forks,Remake of an older java application with current skills in Java.,Java,0,0,0,59,0,1,3/19/2020 15:09,3/19/2020 15:09,3/19/2020 15:53,2,"{""key"": ""unlicense"", ""name"": ""The Unlicense"", ""spdx_id"": ""Unlicense"", ""url"": ""https://api.github.com/licenses/unlicense"", ""node_id"": ""MDc6TGljZW5zZTE1""}",https://github.com/Hippopotomonstrosesquippedaliophobia/CourseGoo
MDEwOlJlcG9zaXRvcnkyNDMzNzY5NTc=,database,android-promise,https://api.github.com/repos/android-promise/database/forks,Manage sqlite databases in android with ease,Java,0,5,5,295,0,1,3/21/2020 19:51,2/26/2020 22:12,3/21/2020 19:48,0,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/android-promise/database
MDEwOlJlcG9zaXRvcnkyNDQyMTMzMDU=,Clothing-Store-Automation,alprn42,https://api.github.com/repos/alprn42/Clothing-Store-Automation/forks,An detailed automation programme with DB.,Java,1,0,0,2199,0,1,3/1/2020 19:56,3/1/2020 19:49,3/3/2020 6:59,2,null,https://github.com/alprn42/Clothing-Store-Automation
MDEwOlJlcG9zaXRvcnkyNjM3MDAyNzQ=,Normalizer-2,kpranjal2047,https://api.github.com/repos/kpranjal2047/Normalizer-2/forks,Database Normalization using Java,Java,0,0,0,34,0,1,5/13/2020 17:36,5/13/2020 17:36,5/13/2020 17:38,2,null,https://github.com/kpranjal2047/Normalizer-2
MDEwOlJlcG9zaXRvcnkyNjQ1ODY1NjA=,Library-Management-System,harshiiash,https://api.github.com/repos/harshiiash/Library-Management-System/forks,Java based Project,Java,0,1,1,326,0,1,5/17/2020 4:59,5/17/2020 4:55,5/26/2020 8:59,1,null,https://github.com/harshiiash/Library-Management-System
MDEwOlJlcG9zaXRvcnkyNjY4OTYyMDg=,e-Recruiter-App,Mpak1996,https://api.github.com/repos/Mpak1996/e-Recruiter-App/forks,,Java,0,0,0,175,0,1,5/25/2020 23:02,5/25/2020 22:57,5/25/2020 23:02,2,null,https://github.com/Mpak1996/e-Recruiter-App
MDEwOlJlcG9zaXRvcnkyNjYwMDg0MjA=,databasefx,databasefx,https://api.github.com/repos/databasefx/databasefx/forks,"Open source, free, cross platform database management tool.",Java,2,3,3,65564,1,1,6/6/2020 8:28,5/22/2020 3:23,6/6/2020 4:17,1,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/databasefx/databasefx
MDEwOlJlcG9zaXRvcnkyNTA0MTgwNTA=,r2dbc-migrate,nkonev,https://api.github.com/repos/nkonev/r2dbc-migrate/forks,R2DBC database migration tool & library,Java,0,8,8,292,0,1,6/2/2020 15:42,3/27/2020 2:05,6/4/2020 13:10,1,null,https://github.com/nkonev/r2dbc-migrate
MDEwOlJlcG9zaXRvcnkyNTA3NjU1NzA=,EasiestSqlLibrary,p32929,https://api.github.com/repos/p32929/EasiestSqlLibrary/forks,The Easiest and Laziest approach to Android SQL Database,Java,3,17,17,152,0,1,5/2/2020 3:06,3/28/2020 10:24,5/31/2020 21:02,3,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/p32929/EasiestSqlLibrary
MDEwOlJlcG9zaXRvcnkyNTg3MTQ0Nw==,Rel,DaveVoorhis,https://api.github.com/repos/DaveVoorhis/Rel/forks,"Rel is a desktop database management system that implements Date & Darwen's ""Tutorial D"" database language.",Java,6,62,62,222251,1,1,6/3/2020 22:02,10/28/2014 13:50,6/5/2020 1:11,6,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/DaveVoorhis/Rel
MDEwOlJlcG9zaXRvcnkyNTI4MTA2MjI=,SimpleDataBase,moon1ock,https://api.github.com/repos/moon1ock/SimpleDataBase/forks,SimpleDB (c),Java,0,0,0,2466,0,1,5/1/2020 14:19,4/3/2020 18:34,5/1/2020 14:19,2,null,https://github.com/moon1ock/SimpleDataBase
MDEwOlJlcG9zaXRvcnkyNTkzMTQ4OTg=,DBMS-Project,achint740,https://api.github.com/repos/achint740/DBMS-Project/forks,Covid-19 Management System DBMS Project,Java,0,2,2,8130,0,1,5/23/2020 9:48,4/27/2020 12:43,5/30/2020 9:40,2,null,https://github.com/achint740/DBMS-Project
MDEwOlJlcG9zaXRvcnkyNTQwNDQ1MzQ=,openjfx-database,GZYangKui,https://api.github.com/repos/GZYangKui/openjfx-database/forks,The openjfx-database repo has moved to:,Java,3,21,21,59230,0,1,5/22/2020 2:44,4/8/2020 9:33,5/22/2020 3:33,2,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/GZYangKui/openjfx-database
